User-ID,ISBN,Book-Rating
2,0195153448,0
7,034542252,0
8,0771025661,0
8,1881320189,7
8,1575663937,6
8,1567407781,6
8,1558746218,0
8,1552041778,5
8,0887841740,5
8,080652121X,0
8,0771074670,0
8,074322678X,5
8,0679425608,0
8,0671870432,0
8,0425176428,0
8,0399135782,0
8,0393045218,0
8,0374157065,0
8,0060973129,0
8,0002005018,5
9,0609804618,0
9,0440234743,0
9,0452264464,6
10,8477024456,6
10,1841721522,0
12,1879384493,10
14,0971880107,0
14,0439095026,5
14,0061076031,5
14,0689821166,6
16,0345402871,9
16,0345417623,0
17,0891076182,3
17,0891075275,6
17,0312978383,0
17,0425099148,7
17,0553264990,5
17,0553278398,0
17,0684823802,0
19,0375759778,7
20,0425163091,0
22,3404921038,7
22,3442353866,0
22,3442410665,0
22,3442446937,0
23,0375406328,0
26,0446310786,10
26,0449005615,9
32,038078243X,0
32,0060168013,8
32,055321215X,0
36,067176537X,0
38,8807016354,0
38,8887913056,0
39,0671888587,7
39,0553582909,8
39,0061099686,0
42,0553582747,7
44,0842342702,0
44,0440223571,8
44,0812523873,0
44,0425182908,0
44,042518630X,0
51,0440225701,9
53,0245542957,6
53,0060914068,3
53,0964778319,0
53,0156047624,10
53,0553280333,0
53,0380715899,9
53,0961769947,0
56,0679865691,9
56,0671623249,7
56,0679810307,0
64,2070423204,7
67,0345260317,0
67,0394743741,7
67,042511774X,0
67,0804106304,0
68,1853262404,0
69,1853260053,8
69,0773670637,0
69,0617683993,6
69,0676973655,3
69,0770428827,0
69,0312970242,0
70,1414035004,10
73,0060938412,5
75,1558531025,5
75,0451625889,0
75,0140067477,0
75,0345465083,0
77,0441783589,0
78,0394895894,8
79,1569871213,0
81,0375410538,5
82,0966986105,10
83,087113375X,7
85,0340767936,5
85,0743403843,0
